"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-24-2012",6,0.0,0.0,"LEPA"
"01-24-2012",7,0.0,0.0,"LEPA"
"01-24-2012",8,0.0,0.0,"LEPA"
"01-24-2012",9,0.0,0.0,"LEPA"
"01-24-2012",10,0.0,0.0,"LEPA"
"01-24-2012",11,0.0,0.0,"LEPA"
"01-24-2012",12,0.0,0.0,"LEPA"
"01-24-2012",13,0.0,0.0,"LEPA"
"01-24-2012",14,0.0,0.0,"LEPA"
"01-24-2012",15,0.0,0.0,"LEPA"
"01-24-2012",16,0.0,0.0,"LEPA"
"01-24-2012",17,0.0,0.0,"LEPA"
"01-24-2012",18,0.0,0.0,"LEPA"
"01-24-2012",19,0.0,0.0,"LEPA"
"01-24-2012",20,0.0,0.0,"LEPA"
"01-24-2012",21,0.0,0.0,"LEPA"
"01-24-2012",22,0.0,0.0,"LEPA"
"01-24-2012",23,0.0,0.0,"LEPA"
"01-25-2012",0,0.0,0.0,"LEPA"
"01-25-2012",1,0.0,0.0,"LEPA"
"01-25-2012",2,0.0,0.0,"LEPA"
"01-25-2012",3,0.0,0.0,"LEPA"
"01-25-2012",4,0.0,0.0,"LEPA"
"01-25-2012",5,0.0,0.0,"LEPA"
"01-25-2012",6,0.0,0.0,"LEPA"
"01-25-2012",7,0.0,0.0,"LEPA"
"01-25-2012",8,0.0,0.0,"LEPA"
"01-25-2012",9,0.0,0.0,"LEPA"
"01-25-2012",10,0.0,0.0,"LEPA"
"01-25-2012",11,0.0,0.0,"LEPA"
"01-25-2012",12,0.0,0.0,"LEPA"
"01-25-2012",13,0.0,0.0,"LEPA"
"01-25-2012",14,0.0,0.0,"LEPA"
"01-25-2012",15,0.0,0.0,"LEPA"
"01-25-2012",16,0.0,0.0,"LEPA"
"01-25-2012",17,0.0,0.0,"LEPA"
"01-25-2012",18,0.0,0.0,"LEPA"
"01-25-2012",19,0.0,0.0,"LEPA"
"01-25-2012",20,0.0,0.0,"LEPA"
"01-25-2012",21,0.0,0.0,"LEPA"
"01-25-2012",22,0.0,0.0,"LEPA"
"01-25-2012",23,0.0,0.0,"LEPA"
"01-26-2012",0,0.0,0.0,"LEPA"
"01-26-2012",1,0.0,0.0,"LEPA"
"01-26-2012",2,0.0,0.0,"LEPA"
"01-26-2012",3,0.0,0.0,"LEPA"
"01-26-2012",4,0.0,0.0,"LEPA"
"01-26-2012",5,0.0,0.0,"LEPA"
"01-26-2012",6,0.0,0.0,"LEPA"
"01-26-2012",7,0.0,0.0,"LEPA"
"01-26-2012",8,0.0,0.0,"LEPA"
"01-26-2012",9,0.0,0.0,"LEPA"
"01-26-2012",10,0.0,0.0,"LEPA"
"01-26-2012",11,0.0,0.0,"LEPA"
"01-26-2012",12,0.0,0.0,"LEPA"
"01-26-2012",13,0.0,0.0,"LEPA"
"01-26-2012",14,0.0,0.0,"LEPA"
"01-26-2012",15,0.0,0.0,"LEPA"
"01-26-2012",16,0.0,0.0,"LEPA"
"01-26-2012",17,0.0,0.0,"LEPA"
"01-26-2012",18,0.0,0.0,"LEPA"
"01-26-2012",19,0.0,0.0,"LEPA"
"01-26-2012",20,0.0,0.0,"LEPA"
"01-26-2012",21,0.0,0.0,"LEPA"
"01-26-2012",22,0.0,0.0,"LEPA"
"01-26-2012",23,0.0,0.0,"LEPA"
"01-27-2012",0,0.0,0.0,"LEPA"
"01-27-2012",1,0.0,0.0,"LEPA"
"01-27-2012",2,0.0,0.0,"LEPA"
"01-27-2012",3,0.0,0.0,"LEPA"
"01-27-2012",4,0.0,0.0,"LEPA"
"01-27-2012",5,0.0,0.0,"LEPA"
"01-27-2012",6,0.0,0.0,"LEPA"
"01-27-2012",7,0.0,0.0,"LEPA"
"01-27-2012",8,0.0,0.0,"LEPA"
"01-27-2012",9,0.0,0.0,"LEPA"
"01-27-2012",10,0.0,0.0,"LEPA"
"01-27-2012",11,0.0,0.0,"LEPA"
"01-27-2012",12,0.0,0.0,"LEPA"
"01-27-2012",13,0.0,0.0,"LEPA"
"01-27-2012",14,0.0,0.0,"LEPA"
"01-27-2012",15,0.0,0.0,"LEPA"
"01-27-2012",16,0.0,0.0,"LEPA"
"01-27-2012",17,0.0,0.0,"LEPA"
"01-27-2012",18,0.0,0.0,"LEPA"
"01-27-2012",19,0.0,0.0,"LEPA"
"01-27-2012",20,0.0,0.0,"LEPA"
"01-27-2012",21,0.0,0.0,"LEPA"
"01-27-2012",22,0.0,0.0,"LEPA"
"01-27-2012",23,0.0,0.0,"LEPA"
"01-28-2012",0,0.0,0.0,"LEPA"
"01-28-2012",1,0.0,0.0,"LEPA"
"01-28-2012",2,0.0,0.0,"LEPA"
"01-28-2012",3,0.0,0.0,"LEPA"
"01-28-2012",4,0.0,0.0,"LEPA"
"01-28-2012",5,0.0,0.0,"LEPA"
"01-28-2012",6,0.0,0.0,"LEPA"
"01-28-2012",7,0.0,0.0,"LEPA"
"01-28-2012",8,0.0,0.0,"LEPA"
"01-28-2012",9,0.0,0.0,"LEPA"
"01-28-2012",10,0.0,0.0,"LEPA"
"01-28-2012",11,0.0,0.0,"LEPA"
"01-28-2012",12,0.0,0.0,"LEPA"
"01-28-2012",13,0.0,0.0,"LEPA"
"01-28-2012",14,0.0,0.0,"LEPA"
"01-28-2012",15,0.0,0.0,"LEPA"
"01-28-2012",16,0.0,0.0,"LEPA"
"01-28-2012",17,0.0,0.0,"LEPA"
"01-28-2012",18,0.0,0.0,"LEPA"
"01-28-2012",19,0.0,0.0,"LEPA"
"01-28-2012",20,0.0,0.0,"LEPA"
"01-28-2012",21,0.0,0.0,"LEPA"
"01-28-2012",22,0.0,0.0,"LEPA"
"01-28-2012",23,0.0,0.0,"LEPA"
"01-29-2012",0,0.0,0.0,"LEPA"
"01-29-2012",1,0.0,0.0,"LEPA"
"01-29-2012",2,0.0,0.0,"LEPA"
"01-29-2012",3,0.0,0.0,"LEPA"
"01-29-2012",4,0.0,0.0,"LEPA"
"01-29-2012",5,0.0,0.0,"LEPA"
"01-29-2012",6,0.0,0.0,"LEPA"
"01-29-2012",7,0.0,0.0,"LEPA"
"01-29-2012",8,0.0,0.0,"LEPA"
"01-29-2012",9,0.0,0.0,"LEPA"
"01-29-2012",10,0.0,0.0,"LEPA"
"01-29-2012",11,0.0,0.0,"LEPA"
"01-29-2012",12,0.0,0.0,"LEPA"
"01-29-2012",13,0.0,0.0,"LEPA"
"01-29-2012",14,0.0,0.0,"LEPA"
"01-29-2012",15,0.0,0.0,"LEPA"
"01-29-2012",16,0.0,0.0,"LEPA"
"01-29-2012",17,0.0,0.0,"LEPA"
"01-29-2012",18,0.0,0.0,"LEPA"
"01-29-2012",19,0.0,0.0,"LEPA"
"01-29-2012",20,0.0,0.0,"LEPA"
"01-29-2012",21,0.0,0.0,"LEPA"
"01-29-2012",22,0.0,0.0,"LEPA"
"01-29-2012",23,0.0,0.0,"LEPA"
"01-30-2012",0,0.0,0.0,"LEPA"
"01-30-2012",1,0.0,0.0,"LEPA"
"01-30-2012",2,0.0,0.0,"LEPA"
"01-30-2012",3,0.0,0.0,"LEPA"
"01-30-2012",4,0.0,0.0,"LEPA"
"01-30-2012",5,0.0,0.0,"LEPA"
"01-30-2012",6,0.0,0.0,"LEPA"
"01-30-2012",7,0.0,0.0,"LEPA"
"01-30-2012",8,0.0,0.0,"LEPA"
"01-30-2012",9,0.0,0.0,"LEPA"
"01-30-2012",10,0.0,0.0,"LEPA"
"01-30-2012",11,0.0,0.0,"LEPA"
"01-30-2012",12,0.0,0.0,"LEPA"
"01-30-2012",13,0.0,0.0,"LEPA"
"01-30-2012",14,0.0,0.0,"LEPA"
"01-30-2012",15,0.0,0.0,"LEPA"
"01-30-2012",16,0.0,0.0,"LEPA"
"01-30-2012",17,0.0,0.0,"LEPA"
"01-30-2012",18,0.0,0.0,"LEPA"
"01-30-2012",19,0.0,0.0,"LEPA"
"01-30-2012",20,0.0,0.0,"LEPA"
"01-30-2012",21,0.0,0.0,"LEPA"
"01-30-2012",22,0.0,0.0,"LEPA"
"01-30-2012",23,0.0,0.0,"LEPA"
"01-31-2012",0,0.0,0.0,"LEPA"
"01-31-2012",1,0.0,0.0,"LEPA"
"01-31-2012",2,0.0,0.0,"LEPA"
"01-31-2012",3,0.0,0.0,"LEPA"
"01-31-2012",4,0.0,0.0,"LEPA"
"01-31-2012",5,0.0,0.0,"LEPA"
"01-31-2012",6,0.0,0.0,"LEPA"
"01-31-2012",7,0.0,0.0,"LEPA"
"01-31-2012",8,0.0,0.0,"LEPA"
"01-31-2012",9,0.0,0.0,"LEPA"
"01-31-2012",10,0.0,0.0,"LEPA"
"01-31-2012",11,0.0,0.0,"LEPA"
"01-31-2012",12,0.0,0.0,"LEPA"
"01-31-2012",13,0.0,0.0,"LEPA"
"01-31-2012",14,0.0,0.0,"LEPA"
"01-31-2012",15,0.0,0.0,"LEPA"
"01-31-2012",16,0.0,0.0,"LEPA"
"01-31-2012",17,0.0,0.0,"LEPA"
"01-31-2012",18,0.0,0.0,"LEPA"
"01-31-2012",19,0.0,0.0,"LEPA"
"01-31-2012",20,0.0,0.0,"LEPA"
"01-31-2012",21,0.0,0.0,"LEPA"
"01-31-2012",22,0.0,0.0,"LEPA"
"01-31-2012",23,0.0,0.0,"LEPA"
"02-01-2012",0,0.0,0.0,"LEPA"
"02-01-2012",1,0.0,0.0,"LEPA"
"02-01-2012",2,0.0,0.0,"LEPA"
"02-01-2012",3,0.0,0.0,"LEPA"
"02-01-2012",4,0.0,0.0,"LEPA"
"02-01-2012",5,0.0,0.0,"LEPA"
"02-01-2012",6,0.0,0.0,"LEPA"
"02-01-2012",7,0.0,0.0,"LEPA"
"02-01-2012",8,0.0,0.0,"LEPA"
"02-01-2012",9,0.0,0.0,"LEPA"
"02-01-2012",10,0.0,0.0,"LEPA"
"02-01-2012",11,0.0,0.0,"LEPA"
"02-01-2012",12,0.0,0.0,"LEPA"
"02-01-2012",13,0.0,0.0,"LEPA"
"02-01-2012",14,0.0,0.0,"LEPA"
"02-01-2012",15,0.0,0.0,"LEPA"
"02-01-2012",16,0.0,0.0,"LEPA"
"02-01-2012",17,0.0,0.0,"LEPA"
"02-01-2012",18,0.0,0.0,"LEPA"
"02-01-2012",19,0.0,0.0,"LEPA"
"02-01-2012",20,0.0,0.0,"LEPA"
"02-01-2012",21,0.0,0.0,"LEPA"
"02-01-2012",22,0.0,0.0,"LEPA"
"02-01-2012",23,0.0,0.0,"LEPA"
"02-02-2012",0,0.0,0.0,"LEPA"
"02-02-2012",1,0.0,0.0,"LEPA"
"02-02-2012",2,0.0,0.0,"LEPA"
"02-02-2012",3,0.0,0.0,"LEPA"
"02-02-2012",4,0.0,0.0,"LEPA"
"02-02-2012",5,0.0,0.0,"LEPA"
"02-02-2012",6,0.0,0.0,"LEPA"
"02-02-2012",7,0.0,0.0,"LEPA"
"02-02-2012",8,0.0,0.0,"LEPA"
"02-02-2012",9,0.0,0.0,"LEPA"
"02-02-2012",10,0.0,0.0,"LEPA"
"02-02-2012",11,0.0,0.0,"LEPA"
"02-02-2012",12,0.0,0.0,"LEPA"
"02-02-2012",13,0.0,0.0,"LEPA"
"02-02-2012",14,0.0,0.0,"LEPA"
"02-02-2012",15,0.0,0.0,"LEPA"
"02-02-2012",16,0.0,0.0,"LEPA"
"02-02-2012",17,0.0,0.0,"LEPA"
"02-02-2012",18,0.0,0.0,"LEPA"
"02-02-2012",19,0.0,0.0,"LEPA"
"02-02-2012",20,0.0,0.0,"LEPA"
"02-02-2012",21,0.0,0.0,"LEPA"
"02-02-2012",22,0.0,0.0,"LEPA"
"02-02-2012",23,0.0,0.0,"LEPA"
"02-03-2012",0,0.0,0.0,"LEPA"
"02-03-2012",1,0.0,0.0,"LEPA"
"02-03-2012",2,0.0,0.0,"LEPA"
"02-03-2012",3,0.0,0.0,"LEPA"
"02-03-2012",4,0.0,0.0,"LEPA"
"02-03-2012",5,0.0,0.0,"LEPA"
"02-03-2012",6,0.0,0.0,"LEPA"
"02-03-2012",7,0.0,0.0,"LEPA"
"02-03-2012",8,0.0,0.0,"LEPA"
"02-03-2012",9,0.0,0.0,"LEPA"
"02-03-2012",10,0.0,0.0,"LEPA"
"02-03-2012",11,0.0,0.0,"LEPA"
"02-03-2012",12,0.0,0.0,"LEPA"
"02-03-2012",13,0.0,0.0,"LEPA"
"02-03-2012",14,0.0,0.0,"LEPA"
"02-03-2012",15,0.0,0.0,"LEPA"
"02-03-2012",16,0.0,0.0,"LEPA"
"02-03-2012",17,0.0,0.0,"LEPA"
"02-03-2012",18,0.0,0.0,"LEPA"
"02-03-2012",19,0.0,0.0,"LEPA"
"02-03-2012",20,0.0,0.0,"LEPA"
"02-03-2012",21,0.0,0.0,"LEPA"
"02-03-2012",22,0.0,0.0,"LEPA"
"02-03-2012",23,0.0,0.0,"LEPA"
"02-04-2012",0,0.0,0.0,"LEPA"
"02-04-2012",1,0.0,0.0,"LEPA"
"02-04-2012",2,0.0,0.0,"LEPA"
"02-04-2012",3,0.0,0.0,"LEPA"
"02-04-2012",4,0.0,0.0,"LEPA"
"02-04-2012",5,0.0,0.0,"LEPA"
"02-04-2012",6,0.0,0.0,"LEPA"
"02-04-2012",7,0.0,0.0,"LEPA"
"02-04-2012",8,0.0,0.0,"LEPA"
"02-04-2012",9,0.0,0.0,"LEPA"
"02-04-2012",10,0.0,0.0,"LEPA"
"02-04-2012",11,0.0,0.0,"LEPA"
"02-04-2012",12,0.0,0.0,"LEPA"
"02-04-2012",13,0.0,0.0,"LEPA"
"02-04-2012",14,0.0,0.0,"LEPA"
"02-04-2012",15,0.0,0.0,"LEPA"
"02-04-2012",16,0.0,0.0,"LEPA"
"02-04-2012",17,0.0,0.0,"LEPA"
"02-04-2012",18,0.0,0.0,"LEPA"
"02-04-2012",19,0.0,0.0,"LEPA"
"02-04-2012",20,0.0,0.0,"LEPA"
"02-04-2012",21,0.0,0.0,"LEPA"
"02-04-2012",22,0.0,0.0,"LEPA"
"02-04-2012",23,0.0,0.0,"LEPA"
"02-05-2012",0,0.0,0.0,"LEPA"
"02-05-2012",1,0.0,0.0,"LEPA"
"02-05-2012",2,0.0,0.0,"LEPA"
"02-05-2012",3,0.0,0.0,"LEPA"
"02-05-2012",4,0.0,0.0,"LEPA"
"02-05-2012",5,0.0,0.0,"LEPA"
"02-05-2012",6,0.0,0.0,"LEPA"
"02-05-2012",7,0.0,0.0,"LEPA"
"02-05-2012",8,0.0,0.0,"LEPA"
"02-05-2012",9,0.0,0.0,"LEPA"
"02-05-2012",10,0.0,0.0,"LEPA"
"02-05-2012",11,0.0,0.0,"LEPA"
"02-05-2012",12,0.0,0.0,"LEPA"
"02-05-2012",13,0.0,0.0,"LEPA"
"02-05-2012",14,0.0,0.0,"LEPA"
"02-05-2012",15,0.0,0.0,"LEPA"
"02-05-2012",16,0.0,0.0,"LEPA"
"02-05-2012",17,0.0,0.0,"LEPA"
"02-05-2012",18,0.0,0.0,"LEPA"
"02-05-2012",19,0.0,0.0,"LEPA"
"02-05-2012",20,0.0,0.0,"LEPA"
"02-05-2012",21,0.0,0.0,"LEPA"
"02-05-2012",22,0.0,0.0,"LEPA"
"02-05-2012",23,0.0,0.0,"LEPA"
"02-06-2012",0,0.0,0.0,"LEPA"
"02-06-2012",1,0.0,0.0,"LEPA"
"02-06-2012",2,0.0,0.0,"LEPA"
"02-06-2012",3,0.0,0.0,"LEPA"
"02-06-2012",4,0.0,0.0,"LEPA"
"02-06-2012",5,0.0,0.0,"LEPA"
"02-06-2012",6,0.0,0.0,"LEPA"
"02-06-2012",7,0.0,0.0,"LEPA"
"02-06-2012",8,0.0,0.0,"LEPA"
"02-06-2012",9,0.0,0.0,"LEPA"
"02-06-2012",10,0.0,0.0,"LEPA"
"02-06-2012",11,0.0,0.0,"LEPA"
"02-06-2012",12,0.0,0.0,"LEPA"
"02-06-2012",13,0.0,0.0,"LEPA"
"02-06-2012",14,0.0,0.0,"LEPA"
"02-06-2012",15,0.0,0.0,"LEPA"
"02-06-2012",16,0.0,0.0,"LEPA"
"02-06-2012",17,0.0,0.0,"LEPA"
"02-06-2012",18,0.0,0.0,"LEPA"
"02-06-2012",19,0.0,0.0,"LEPA"
"02-06-2012",20,0.0,0.0,"LEPA"
"02-06-2012",21,0.0,0.0,"LEPA"
"02-06-2012",22,0.0,0.0,"LEPA"
"02-06-2012",23,0.0,0.0,"LEPA"
"02-07-2012",0,0.0,0.0,"LEPA"
"02-07-2012",1,0.0,0.0,"LEPA"
"02-07-2012",2,0.0,0.0,"LEPA"
"02-07-2012",3,0.0,0.0,"LEPA"
"02-07-2012",4,0.0,0.0,"LEPA"
"02-07-2012",5,0.0,0.0,"LEPA"
"02-07-2012",6,0.0,0.0,"LEPA"
"02-07-2012",7,0.0,0.0,"LEPA"
"02-07-2012",8,0.0,0.0,"LEPA"
"02-07-2012",9,0.0,0.0,"LEPA"
"02-07-2012",10,0.0,0.0,"LEPA"
"02-07-2012",11,0.0,0.0,"LEPA"
"02-07-2012",12,0.0,0.0,"LEPA"
"02-07-2012",13,0.0,0.0,"LEPA"
"02-07-2012",14,0.0,0.0,"LEPA"
"02-07-2012",15,0.0,0.0,"LEPA"
"02-07-2012",16,0.0,0.0,"LEPA"
"02-07-2012",17,0.0,0.0,"LEPA"
"02-07-2012",18,0.0,0.0,"LEPA"
"02-07-2012",19,0.0,0.0,"LEPA"
"02-07-2012",20,0.0,0.0,"LEPA"
"02-07-2012",21,0.0,0.0,"LEPA"
"02-07-2012",22,0.0,0.0,"LEPA"
"02-07-2012",23,0.0,0.0,"LEPA"
"02-08-2012",0,0.0,0.0,"LEPA"
"02-08-2012",1,0.0,0.0,"LEPA"
"02-08-2012",2,0.0,0.0,"LEPA"
"02-08-2012",3,0.0,0.0,"LEPA"
"02-08-2012",4,0.0,0.0,"LEPA"
"02-08-2012",5,0.0,0.0,"LEPA"
"02-08-2012",6,0.0,0.0,"LEPA"
"02-08-2012",7,0.0,0.0,"LEPA"
"02-08-2012",8,0.0,0.0,"LEPA"
"02-08-2012",9,0.0,0.0,"LEPA"
"02-08-2012",10,0.0,0.0,"LEPA"
"02-08-2012",11,0.0,0.0,"LEPA"
"02-08-2012",12,0.0,0.0,"LEPA"
"02-08-2012",13,0.0,0.0,"LEPA"
"02-08-2012",14,0.0,0.0,"LEPA"
"02-08-2012",15,0.0,0.0,"LEPA"
"02-08-2012",16,0.0,0.0,"LEPA"
"02-08-2012",17,0.0,0.0,"LEPA"
"02-08-2012",18,0.0,0.0,"LEPA"
"02-08-2012",19,0.0,0.0,"LEPA"
"02-08-2012",20,0.0,0.0,"LEPA"
"02-08-2012",21,0.0,0.0,"LEPA"
"02-08-2012",22,0.0,0.0,"LEPA"
"02-08-2012",23,0.0,0.0,"LEPA"
"02-09-2012",0,0.0,0.0,"LEPA"
"02-09-2012",1,0.0,0.0,"LEPA"
"02-09-2012",2,0.0,0.0,"LEPA"
"02-09-2012",3,0.0,0.0,"LEPA"
"02-09-2012",4,0.0,0.0,"LEPA"
"02-09-2012",5,0.0,0.0,"LEPA"
"02-09-2012",6,0.0,0.0,"LEPA"
"02-09-2012",7,0.0,0.0,"LEPA"
"02-09-2012",8,0.0,0.0,"LEPA"
"02-09-2012",9,0.0,0.0,"LEPA"
"02-09-2012",10,0.0,0.0,"LEPA"
"02-09-2012",11,0.0,0.0,"LEPA"
"02-09-2012",12,0.0,0.0,"LEPA"
"02-09-2012",13,0.0,0.0,"LEPA"
"02-09-2012",14,0.0,0.0,"LEPA"
"02-09-2012",15,0.0,0.0,"LEPA"
"02-09-2012",16,0.0,0.0,"LEPA"
"02-09-2012",17,0.0,0.0,"LEPA"
"02-09-2012",18,0.0,0.0,"LEPA"
"02-09-2012",19,0.0,0.0,"LEPA"
"02-09-2012",20,0.0,0.0,"LEPA"
"02-09-2012",21,0.0,0.0,"LEPA"
"02-09-2012",22,0.0,0.0,"LEPA"
"02-09-2012",23,0.0,0.0,"LEPA"
"02-10-2012",0,0.0,0.0,"LEPA"
"02-10-2012",1,0.0,0.0,"LEPA"
"02-10-2012",2,0.0,0.0,"LEPA"
"02-10-2012",3,0.0,0.0,"LEPA"
"02-10-2012",4,0.0,0.0,"LEPA"
"02-10-2012",5,0.0,0.0,"LEPA"
"02-10-2012",6,0.0,0.0,"LEPA"
"02-10-2012",7,0.0,0.0,"LEPA"
"02-10-2012",8,0.0,0.0,"LEPA"
"02-10-2012",9,0.0,0.0,"LEPA"
"02-10-2012",10,0.0,0.0,"LEPA"
"02-10-2012",11,0.0,0.0,"LEPA"
"02-10-2012",12,0.0,0.0,"LEPA"
"02-10-2012",13,0.0,0.0,"LEPA"
"02-10-2012",14,0.0,0.0,"LEPA"
"02-10-2012",15,0.0,0.0,"LEPA"
"02-10-2012",16,0.0,0.0,"LEPA"
"02-10-2012",17,0.0,0.0,"LEPA"
"02-10-2012",18,0.0,0.0,"LEPA"
"02-10-2012",19,0.0,0.0,"LEPA"
"02-10-2012",20,0.0,0.0,"LEPA"
"02-10-2012",21,0.0,0.0,"LEPA"
"02-10-2012",22,0.0,0.0,"LEPA"
"02-10-2012",23,0.0,0.0,"LEPA"
"02-11-2012",0,0.0,0.0,"LEPA"
"02-11-2012",1,0.0,0.0,"LEPA"
"02-11-2012",2,0.0,0.0,"LEPA"
"02-11-2012",3,0.0,0.0,"LEPA"
"02-11-2012",4,0.0,0.0,"LEPA"
"02-11-2012",5,0.0,0.0,"LEPA"
"02-11-2012",6,0.0,0.0,"LEPA"
"02-11-2012",7,0.0,0.0,"LEPA"
"02-11-2012",8,0.0,0.0,"LEPA"
"02-11-2012",9,0.0,0.0,"LEPA"
"02-11-2012",10,0.0,0.0,"LEPA"
"02-11-2012",11,0.0,0.0,"LEPA"
"02-11-2012",12,0.0,0.0,"LEPA"
"02-11-2012",13,0.0,0.0,"LEPA"
"02-11-2012",14,0.0,0.0,"LEPA"
"02-11-2012",15,0.0,0.0,"LEPA"
"02-11-2012",16,0.0,0.0,"LEPA"
"02-11-2012",17,0.0,0.0,"LEPA"
"02-11-2012",18,0.0,0.0,"LEPA"
"02-11-2012",19,0.0,0.0,"LEPA"
"02-11-2012",20,0.0,0.0,"LEPA"
"02-11-2012",21,0.0,0.0,"LEPA"
"02-11-2012",22,0.0,0.0,"LEPA"
"02-11-2012",23,0.0,0.0,"LEPA"
"02-12-2012",0,0.0,0.0,"LEPA"
"02-12-2012",1,0.0,0.0,"LEPA"
"02-12-2012",2,0.0,0.0,"LEPA"
"02-12-2012",3,0.0,0.0,"LEPA"
"02-12-2012",4,0.0,0.0,"LEPA"
"02-12-2012",5,0.0,0.0,"LEPA"
"02-12-2012",6,0.0,0.0,"LEPA"
"02-12-2012",7,0.0,0.0,"LEPA"
"02-12-2012",8,0.0,0.0,"LEPA"
"02-12-2012",9,0.0,0.0,"LEPA"
"02-12-2012",10,0.0,0.0,"LEPA"
"02-12-2012",11,0.0,0.0,"LEPA"
"02-12-2012",12,0.0,0.0,"LEPA"
"02-12-2012",13,0.0,0.0,"LEPA"
"02-12-2012",14,0.0,0.0,"LEPA"
"02-12-2012",15,0.0,0.0,"LEPA"
"02-12-2012",16,0.0,0.0,"LEPA"
"02-12-2012",17,0.0,0.0,"LEPA"
"02-12-2012",18,0.0,0.0,"LEPA"
"02-12-2012",19,0.0,0.0,"LEPA"
"02-12-2012",20,0.0,0.0,"LEPA"
"02-12-2012",21,0.0,0.0,"LEPA"
"02-12-2012",22,0.0,0.0,"LEPA"
"02-12-2012",23,0.0,0.0,"LEPA"
"02-13-2012",0,0.0,0.0,"LEPA"
"02-13-2012",1,0.0,0.0,"LEPA"
"02-13-2012",2,0.0,0.0,"LEPA"
"02-13-2012",3,0.0,0.0,"LEPA"
"02-13-2012",4,0.0,0.0,"LEPA"
"02-13-2012",5,0.0,0.0,"LEPA"
"02-13-2012",6,0.0,0.0,"LEPA"
"02-13-2012",7,0.0,0.0,"LEPA"
"02-13-2012",8,0.0,0.0,"LEPA"
"02-13-2012",9,0.0,0.0,"LEPA"
"02-13-2012",10,0.0,0.0,"LEPA"
"02-13-2012",11,0.0,0.0,"LEPA"
"02-13-2012",12,0.0,0.0,"LEPA"
"02-13-2012",13,0.0,0.0,"LEPA"
"02-13-2012",14,0.0,0.0,"LEPA"
"02-13-2012",15,0.0,0.0,"LEPA"
"02-13-2012",16,0.0,0.0,"LEPA"
"02-13-2012",17,0.0,0.0,"LEPA"
"02-13-2012",18,0.0,0.0,"LEPA"
"02-13-2012",19,0.0,0.0,"LEPA"
"02-13-2012",20,0.0,0.0,"LEPA"
"02-13-2012",21,0.0,0.0,"LEPA"
"02-13-2012",22,0.0,0.0,"LEPA"
"02-13-2012",23,0.0,0.0,"LEPA"
"02-14-2012",0,0.0,0.0,"LEPA"
"02-14-2012",1,0.0,0.0,"LEPA"
"02-14-2012",2,0.0,0.0,"LEPA"
"02-14-2012",3,0.0,0.0,"LEPA"
"02-14-2012",4,0.0,0.0,"LEPA"
"02-14-2012",5,0.0,0.0,"LEPA"
"02-14-2012",6,0.0,0.0,"LEPA"
"02-14-2012",7,0.0,0.0,"LEPA"
"02-14-2012",8,0.0,0.0,"LEPA"
"02-14-2012",9,0.0,0.0,"LEPA"
"02-14-2012",10,0.0,0.0,"LEPA"
"02-14-2012",11,0.0,0.0,"LEPA"
"02-14-2012",12,0.0,0.0,"LEPA"
"02-14-2012",13,0.0,0.0,"LEPA"
"02-14-2012",14,0.0,0.0,"LEPA"
"02-14-2012",15,0.0,0.0,"LEPA"
"02-14-2012",16,0.0,0.0,"LEPA"
"02-14-2012",17,0.0,0.0,"LEPA"
"02-14-2012",18,0.0,0.0,"LEPA"
"02-14-2012",19,0.0,0.0,"LEPA"
"02-14-2012",20,0.0,0.0,"LEPA"
"02-14-2012",21,0.0,0.0,"LEPA"
"02-14-2012",22,0.0,0.0,"LEPA"
"02-14-2012",23,0.0,0.0,"LEPA"
"02-15-2012",0,0.0,0.0,"LEPA"
"02-15-2012",1,0.0,0.0,"LEPA"
"02-15-2012",2,0.0,0.0,"LEPA"
"02-15-2012",3,0.0,0.0,"LEPA"
"02-15-2012",4,0.0,0.0,"LEPA"
"02-15-2012",5,0.0,0.0,"LEPA"
"02-15-2012",6,0.0,0.0,"LEPA"
"02-15-2012",7,0.0,0.0,"LEPA"
"02-15-2012",8,0.0,0.0,"LEPA"
"02-15-2012",9,0.0,0.0,"LEPA"
"02-15-2012",10,0.0,0.0,"LEPA"
"02-15-2012",11,0.0,0.0,"LEPA"
"02-15-2012",12,0.0,0.0,"LEPA"
"02-15-2012",13,0.0,0.0,"LEPA"
"02-15-2012",14,0.0,0.0,"LEPA"
"02-15-2012",15,0.0,0.0,"LEPA"
"02-15-2012",16,0.0,0.0,"LEPA"
"02-15-2012",17,0.0,0.0,"LEPA"
"02-15-2012",18,0.0,0.0,"LEPA"
"02-15-2012",19,0.0,0.0,"LEPA"
"02-15-2012",20,0.0,0.0,"LEPA"
"02-15-2012",21,0.0,0.0,"LEPA"
"02-15-2012",22,0.0,0.0,"LEPA"
"02-15-2012",23,0.0,0.0,"LEPA"
"02-16-2012",0,0.0,0.0,"LEPA"
"02-16-2012",1,0.0,0.0,"LEPA"
"02-16-2012",2,0.0,0.0,"LEPA"
"02-16-2012",3,0.0,0.0,"LEPA"
"02-16-2012",4,0.0,0.0,"LEPA"
"02-16-2012",5,0.0,0.0,"LEPA"
"02-16-2012",6,0.0,0.0,"LEPA"
"02-16-2012",7,0.0,0.0,"LEPA"
"02-16-2012",8,0.0,0.0,"LEPA"
"02-16-2012",9,0.0,0.0,"LEPA"
"02-16-2012",10,0.0,0.0,"LEPA"
"02-16-2012",11,0.0,0.0,"LEPA"
